year,avg_temp_melbourne
1824,24.69
1825,25.01
1826,24.77
1827,24.95
1828,24.66
1829,24.51
1830,
1831,
1832,
1833,
1834,
1835,
1836,
1837,
1838,
1839,
1840,
1841,
1842,
1843,
1844,
1845,24.41
1846,24.92
1847,24.37
1848,24.36
1849,24.44
1850,24.45
1851,24.54
1852,24.36
1853,24.54
1854,24.47
1855,24.64
1856,24.80
1857,24.05
1858,24.21
1859,24.27
1860,24.40
1861,24.46
1862,24.29
1863,24.33
1864,24.44
1865,24.52
1866,24.42
1867,24.68
1868,24.75
1869,25.08
1870,24.43
1871,24.58
1872,24.87
1873,24.61
1874,24.51
1875,24.46
1876,24.75
1877,25.24
1878,25.54
1879,24.62
1880,24.08
1881,24.51
1882,24.17
1883,24.24
1884,24.13
1885,24.63
1886,24.30
1887,24.19
1888,24.67
1889,25.04
1890,23.86
1891,24.84
1892,24.48
1893,24.31
1894,24.25
1895,24.48
1896,24.63
1897,24.72
1898,24.29
1899,24.77
1900,25.02
1901,24.84
1902,25.03
1903,24.93
1904,24.39
1905,24.71
1906,24.67
1907,24.46
1908,24.56
1909,24.54
1910,24.64
1911,24.53
1912,24.59
1913,24.30
1914,24.75
1915,25.16
1916,24.54
1917,24.09
1918,24.33
1919,24.86
1920,24.54
1921,24.35
1922,24.59
1923,24.51
1924,24.88
1925,24.70
1926,25.29
1927,24.88
1928,25.01
1929,24.77
1930,24.65
1931,25.29
1932,25.09
1933,24.67
1934,25.07
1935,24.67
1936,24.79
1937,25.08
1938,24.58
1939,24.75
1940,25.55
1941,25.63
1942,25.64
1943,25.04
1944,25.25
1945,24.73
1946,24.61
1947,25.09
1948,25.03
1949,24.89
1950,24.53
1951,25.24
1952,25.48
1953,25.32
1954,24.96
1955,24.82
1956,24.88
1957,25.24
1958,25.82
1959,25.31
1960,25.49
1961,25.27
1962,25.20
1963,25.27
1964,25.13
1965,25.07
1966,25.38
1967,24.93
1968,25.06
1969,25.69
1970,25.31
1971,24.73
1972,25.30
1973,25.47
1974,24.88
1975,24.96
1976,24.81
1977,25.48
1978,25.41
1979,25.61
1980,25.56
1981,25.47
1982,25.16
1983,25.71
1984,25.13
1985,24.77
1986,25.23
1987,26.00
1988,25.26
1989,25.06
1990,25.66
1991,25.30
1992,25.42
1993,25.43
1994,25.36
1995,25.55
1996,25.46
1997,25.58
1998,26.16
1999,25.14
2000,25.15
2001,25.71
2002,25.86
2003,25.89
2004,25.46
2005,25.85
2006,25.71
2007,25.84
2008,25.69
2009,26.23
2010,26.34
2011,25.57
2012,25.75
2013,25.75
